ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
365666,1001,★★★,Scarecrow,,100,3255500,-,-,x1,★★★★★,,1091,1091,10,10,5,5,0,,2003,Pilfer,100,,,Locked
365668,3001,★,Ripper,M,1,0,0,100,x5,★,◆◆◆◆,405,405,0,0,0,0,0,,0,,50,,,Locked
365674,3004,★,Jaeger,M,1,0,0,100,x5,★,◆◆◆◆,265,265,0,0,0,0,0,,0,,50,,,Locked
365684,3003,★,Guard,XL,1,0,0,100,x5,★,◆◆◆◆,553,553,0,0,0,0,0,,0,,50,,,Locked
365695,3007,★,Scout,L,1,0,0,100,x5,★,◆◆◆◆,309,309,0,0,0,0,0,,0,,50,,,Locked
365698,3005,★,Striker,M,1,0,0,100,x5,★,◆◆◆◆,322,322,0,0,0,0,0,,0,,50,,,Locked
369193,2003,★★,Aegis,XL,91,2194865,114565,1835,x5,★★★★★,◆◆◆◆,1292,1292,0,0,5,5,0,,0,,100,,,Locked
377838,1004,★★★,Intruder,,90,1993560,26260,86740,x1,★★★★★,,1309,1309,10,8,2,2,0,,0,,100,,,Locked
378918,3006,★,Dinergate,M,90,2034153,66853,46147,x5,★★★★★,◆◆◆◆,316,316,0,0,0,5,0,,0,,100,,,Locked
392250,3003,★,Guard,XL,1,0,0,100,x5,★,◆◆◆◆,553,553,0,0,0,0,0,,0,,50,,,Locked
435644,3002,★,Vespid,L,1,0,0,100,x5,★,◆◆◆◆,374,374,0,0,0,0,0,,0,,50,,,Locked
493592,2001,★★,Brute,L,1,0,0,100,x5,★★,◆◆◆◆,327,327,0,0,1,0,0,,0,,50,,,Locked
494989,2006,★★,Manticore,L,99,3122272,12072,133228,x1,★★★★★,◆◆◆◆,1582,1582,0,0,5,5,0,,0,,100,,,Locked
500954,3009,★,Jaguar,XL,1,0,0,100,x5,★,◆◆◆◆,237,237,0,0,0,0,0,,0,,50,,,Locked
504428,3004,★,Jaeger,L,92,2265174,68474,51326,x5,★★★★★,◆◆◆◆,568,568,0,0,0,5,0,,0,,100,,,Locked
505164,2003,★★,Aegis,M,70,670800,26800,20500,x5,★★★★,◆◆◆◆,1058,1058,0,0,1,1,0,,0,,55,,,Locked
521194,3002,★,Vespid,L,1,0,0,100,x5,★,◆◆◆◆,374,374,0,0,0,0,0,,0,,50,,,Locked
